timestamp,model_name,lr,momentum,weight_decay,n_epochs,version,strat,batch_size,best_epoch,best_test_accuracy,train_directory
20240726_030858,resnet50.tv_in1k,0.0002,0.9,0.0002,100,v4,new1,16,92,65.9794,./BF/datasv4/strat_new1/train
20240726_032158,resnet101.tv_in1k,0.0002,0.9,0.0002,100,v4,new1,16,81,64.9485,./BF/datasv4/strat_new1/train
20240726_033519,tf_efficientnetv2_m.in21k,0.0002,0.9,0.0002,100,v4,new1,16,34,64.9485,./BF/datasv4/strat_new1/train
20240726_035035,tf_efficientnetv2_l.in21k,0.0002,0.9,0.0002,100,v4,new1,16,65,61.8557,./BF/datasv4/strat_new1/train
20240726_040724,resnet50.tv_in1k,0.0002,0.9,0.0002,100,v4,new3,16,47,68.0412,./BF/datasv4/strat_new3/train
20240726_042406,resnet101.tv_in1k,0.0002,0.9,0.0002,100,v4,new3,16,12,70.1031,./BF/datasv4/strat_new3/train
20240726_044100,tf_efficientnetv2_m.in21k,0.0002,0.9,0.0002,100,v4,new3,16,30,68.0412,./BF/datasv4/strat_new3/train
20240726_050042,tf_efficientnetv2_l.in21k,0.0002,0.9,0.0002,100,v4,new3,16,8,67.0103,./BF/datasv4/strat_new3/train
20240726_052249,resnet50.tv_in1k,0.0002,0.9,0.0002,100,v4,new5,16,47,65.9794,./BF/datasv4/strat_new5/train
20240726_054302,resnet101.tv_in1k,0.0002,0.9,0.0002,100,v4,new5,16,28,68.0412,./BF/datasv4/strat_new5/train
20240726_060354,tf_efficientnetv2_m.in21k,0.0002,0.9,0.0002,100,v4,new5,16,7,62.8866,./BF/datasv4/strat_new5/train
20240726_062817,tf_efficientnetv2_l.in21k,0.0002,0.9,0.0002,100,v4,new5,16,61,69.0722,./BF/datasv4/strat_new5/train
20240726_065555,resnet50.tv_in1k,0.0002,0.9,0.0002,100,v4,new10,16,80,62.8866,./BF/datasv4/strat_new10/train
20240726_072529,resnet101.tv_in1k,0.0002,0.9,0.0002,100,v4,new10,16,44,69.0722,./BF/datasv4/strat_new10/train
20240726_075559,tf_efficientnetv2_m.in21k,0.0002,0.9,0.0002,100,v4,new10,16,6,61.8557,./BF/datasv4/strat_new10/train
20240726_083200,tf_efficientnetv2_l.in21k,0.0002,0.9,0.0002,100,v4,new10,16,1,65.9794,./BF/datasv4/strat_new10/train
20240726_110658,resnet50.tv_in1k,0.008,0.9,0.0002,100,v4,1,16,66,64.9485,./BF/datasv4/strat_1/train
20240726_111930,resnet101.tv_in1k,0.008,0.9,0.0002,100,v4,1,16,2,64.9485,./BF/datasv4/strat_1/train
20240726_113156,tf_efficientnetv2_m.in21k,0.008,0.9,0.0002,100,v4,1,16,16,67.0103,./BF/datasv4/strat_1/train
20240726_114607,tf_efficientnetv2_l.in21k,0.008,0.9,0.0002,100,v4,1,16,53,65.9794,./BF/datasv4/strat_1/train
20240726_120123,resnet50.tv_in1k,0.008,0.9,0.0002,100,v4,3,16,20,77.3196,./BF/datasv4/strat_3/train
20240726_121734,resnet101.tv_in1k,0.008,0.9,0.0002,100,v4,3,16,64,75.2577,./BF/datasv4/strat_3/train
20240726_123401,tf_efficientnetv2_m.in21k,0.008,0.9,0.0002,100,v4,3,16,44,68.0412,./BF/datasv4/strat_3/train
20240726_125240,tf_efficientnetv2_l.in21k,0.008,0.9,0.0002,100,v4,3,16,21,63.9175,./BF/datasv4/strat_3/train
